Index,-30,-20,-10,0,10,20,frequency (Hz)
120,-122.116409301758,-130.675064086914,-111.421485900879,-105.813018798828,-89.8822784423828,-87.1810073852539,750.925
121,-122.126647949219,-130.682678222656,-111.428771972656,-105.822319030762,-89.8880920410156,-87.1861572265625,757.1743749999999
122,-122.137283325195,-130.690658569336,-111.436370849609,-105.831962585449,-89.8942565917969,-87.1916198730469,763.4237499999999
123,-122.148300170898,-130.699005126953,-111.444343566895,-105.841979980469,-89.9007720947266,-87.1974334716797,769.6731249999999
124,-122.159713745117,-130.707717895508,-111.452651977539,-105.852348327637,-89.9076385498047,-87.2035751342773,775.9225
125,-122.171539306641,-130.716796875,-111.461326599121,-105.863082885742,-89.9148483276367,-87.2100524902344,782.171875
126,-122.18376159668,-130.726257324219,-111.470352172852,-105.874176025391,-89.9224243164062,-87.2168731689453,788.42125
127,-122.196395874023,-130.736083984375,-111.479736328125,-105.885635375977,-89.9303588867188,-87.2240295410156,794.670625
128,-122.209426879883,-130.746276855469,-111.489456176758,-105.897468566895,-89.9386520385742,-87.2315216064453,800.92
129,-122.221145629883,-130.755126953125,-111.497840881348,-105.90795135498,-89.9455795288086,-87.2376480102539,807.169375
130,-122.233276367188,-130.764358520508,-111.506546020508,-105.91877746582,-89.9528427124023,-87.2440872192383,813.4187499999999
131,-122.245788574219,-130.773941040039,-111.515609741211,-105.929954528809,-89.9604721069336,-87.250862121582,819.6681249999999
132,-122.258697509766,-130.783889770508,-111.525001525879,-105.941482543945,-89.9684295654297,-87.2579574584961,825.9174999999999
133,-122.272018432617,-130.794204711914,-111.53475189209,-105.95337677002,-89.9767456054688,-87.2653884887695,832.166875
134,-122.285751342773,-130.804870605469,-111.544845581055,-105.965621948242,-89.9854049682617,-87.2731552124023,838.41625
135,-122.299865722656,-130.81591796875,-111.555282592773,-105.978225708008,-89.9944152832031,-87.28125,844.665625
136,-122.314407348633,-130.827346801758,-111.566078186035,-105.991195678711,-90.0037841796875,-87.289680480957,850.915
137,-122.32780456543,-130.837585449219,-111.575668334961,-106.002960205078,-90.0119400024414,-87.2968902587891,857.164375
138,-122.341583251953,-130.848175048828,-111.585578918457,-106.015075683594,-90.0204238891602,-87.3044128417969,863.4137499999999
139,-122.355758666992,-130.859130859375,-111.595832824707,-106.027549743652,-90.0292663574219,-87.312255859375,869.6631249999999
140,-122.370346069336,-130.87043762207,-111.606430053711,-106.040367126465,-90.0384292602539,-87.3204193115234,875.9124999999999
141,-122.385330200195,-130.882110595703,-111.617362976074,-106.053527832031,-90.047966003418,-87.3289184570313,882.161875
142,-122.40071105957,-130.894149780273,-111.628623962402,-106.067039489746,-90.0578155517578,-87.3377227783203,888.41125
143,-122.416534423828,-130.906555175781,-111.640251159668,-106.080924987793,-90.0680236816406,-87.3468780517578,894.660625
144,-122.432739257813,-130.919326782227,-111.652198791504,-106.095138549805,-90.0785675048828,-87.3563385009766,900.91
145,-122.447937011719,-130.931060791016,-111.663078308105,-106.108299255371,-90.0880432128906,-87.3647079467773,907.159375
146,-122.46354675293,-130.943130493164,-111.674285888672,-106.121803283691,-90.0978469848633,-87.373405456543,913.4087499999999
147,-122.479553222656,-130.95556640625,-111.685813903809,-106.135650634766,-90.1079864501953,-87.3824081420898,919.6581249999999
148,-122.495956420898,-130.968353271484,-111.697685241699,-106.149848937988,-90.1184692382813,-87.391731262207,925.9074999999999
149,-122.512786865234,-130.981521606445,-111.709892272949,-106.164398193359,-90.129280090332,-87.4013671875,932.1568749999999
150,-122.529998779297,-130.995025634766,-111.72241973877,-106.17928314209,-90.1404266357422,-87.4113235473633,938.40625
151,-122.547637939453,-131.008895874023,-111.735298156738,-106.194519042969,-90.1519241333008,-87.4216003417969,944.655625
152,-122.565689086914,-131.023147583008,-111.748489379883,-106.210098266602,-90.1637344360352,-87.4321975708008,950.905
153,-122.582870483398,-131.036468505859,-111.7607421875,-106.224754333496,-90.1746215820313,-87.4418334960938,957.154375
154,-122.600448608398,-131.050140380859,-111.773330688477,-106.239753723145,-90.1858291625977,-87.4517669677734,963.40375
155,-122.618438720703,-131.064178466797,-111.786224365234,-106.255081176758,-90.1973724365234,-87.4620208740234,969.6531249999999
156,-122.636840820313,-131.078567504883,-111.799438476562,-106.27074432373,-90.2092361450195,-87.4725875854492,975.9024999999999
157,-122.655654907227,-131.093307495117,-111.812995910645,-106.286766052246,-90.2214279174805,-87.4834594726563,982.1518749999999
158,-122.674865722656,-131.1083984375,-111.826866149902,-106.303115844727,-90.2339553833008,-87.4946441650391,988.40125
159,-122.69450378418,-131.12385559082,-111.84105682373,-106.319816589355,-90.2468109130859,-87.5061416625977,994.650625
160,-122.714553833008,-131.139694213867,-111.855583190918,-106.336853027344,-90.2600021362305,-87.5179443359375,1000.9
161,-122.733856201172,-131.154708862305,-111.869262695312,-106.353080749512,-90.2723617553711,-87.5289001464844,1007.149375
162,-122.753570556641,-131.170074462891,-111.883262634277,-106.36962890625,-90.2850341796875,-87.5401611328125,1013.39875
163,-122.773681640625,-131.185791015625,-111.897575378418,-106.386520385742,-90.2980346679688,-87.5517272949219,1019.6481249999999
164,-122.794219970703,-131.201858520508,-111.912200927734,-106.403747558594,-90.3113479614258,-87.563591003418,1025.8975
165,-122.815170288086,-131.218292236328,-111.927146911621,-106.42130279541,-90.3249969482422,-87.5757598876953,1032.146875
166,-122.836517333984,-131.235061645508,-111.942398071289,-106.439208984375,-90.3389663696289,-87.5882415771484,1038.39625
167,-122.858306884766,-131.252197265625,-111.957969665527,-106.457443237305,-90.3532485961914,-87.6010284423828,1044.6456249999999
168,-122.880508422852,-131.26969909668,-111.973861694336,-106.476013183594,-90.3678665161133,-87.6141204833984,1050.895
169,-122.902069091797,-131.286483764648,-111.98902130127,-106.493881225586,-90.3817520141602,-87.6264495849609,1057.1443749999999
170,-122.924057006836,-131.303634643555,-112.004463195801,-106.512054443359,-90.3959426879883,-87.6390838623047,1063.39375
171,-122.946441650391,-131.32112121582,-112.020233154297,-106.530578613281,-90.4104614257813,-87.6520233154297,1069.643125
172,-122.969253540039,-131.338973999023,-112.03630065918,-106.549407958984,-90.4252853393555,-87.6652374267578,1075.8925
173,-122.992462158203,-131.357162475586,-112.052665710449,-106.568588256836,-90.4404220581055,-87.6787719726563,1082.141875
